Names,Prices
Dettol 3X Antibacterial Power Floor Cleaner – Lemon - 1.3 L – 2 PCS Discount,EGP 114.00
Negmet El Zeitoun Natural White Vinegar - 500 Ml,EGP 7.00
White Compressed Toilet Paper Rolls - 3 Ply - 2 Rolls,EGP 17.95
Aldoha White Beans  - 500g,EGP 23.00
Nabtah Himalayan Pink Rock Salt - Fine Salt- 400gm,EGP 29.00
Downy Concentrate Antibacterial Fabric Softener – 300ml,EGP 21.00
Chefy Mix Kabsa Rice Mix - 35g,EGP 7.00
The PACK 5 Pack Microwave Boxes Insulated Healthy Food Storage Containers With Lids For Dishwasher Freezer Safe (650ML- 23 OZ),EGP 58.00
Abu Auf Al Shareef Kamar El Din - 400gm,EGP 29.95
Regina Pasta Vermicelli - 1kg,EGP 24.00
Masreya Pasta Rice - 1kg,EGP 19.00
Tang Mango Powdered Drink Mix- 450gm,EGP 29.00
Masreya Pasta Pipe - 350g,EGP 7.00
Kit Kat 2-Finger Mini Chocolate Bag - 250g,EGP 81.00
Aldoha Cloves - 40 Gm,EGP 24.00
Aldoha Red Pepper Grinder - 70g,EGP 14.95
Regina Pasta Snails - 400g,EGP 12.90
Al Attar Pomegranate (Kajarat)  Herbal Tea - 20 Bags,EGP 28.00
Aldoha Curry Mix - 70g,EGP 13.00
Chefy Mix Mahshie Mix - 50g,EGP 7.00
White Chef Kitchen Towels - 3 Ply - 6 Rolls,EGP 42.11
Nescafe Gold Instant Coffee Jar - 100gm,EGP 111.00
Masreya Pasta Small Rings - 1kg,EGP 19.00
Mr. Food Whole Grain Oats - 500g,EGP 27.50
Feba Liquid Dish Cleaner With Lemon Scent - 4kg,EGP 79.25
Hero Jam With Black Cherry Flavor - Light - 320 Gm,EGP 45.00
Regina Pasta Vermicelli - 400g,EGP 12.00
Aldoha Spaghetti Pasta – 1Kg,EGP 31.20
"Avanti Milk Powder Full Cream , Bag 300 Gm",EGP 48.00
"Vanish Vanish Laundry Stain Remover Oxi Action Powder for Whites, 450gm",EGP 59.00
Chefy Mix Hot Cheese Flavor - 90g,EGP 14.50
The PACK Paper Cups For Coffee And Espresso - 4Oz - 50 Pcs,EGP 65.00
Maggi Chicken Mashawi - 40G – 1 PC,EGP 8.00
Masreya Pasta Shells - 350g,EGP 7.90
Shaheen Coffee Oriental Blend Plain Light Turkish Coffee - 100gm,EGP 24.75
Rawaby Ghee Pouch - 350g,EGP 16.00
Star Elbow Pasta - 400gm,EGP 8.30
White Cling Film - 30cmx20m,EGP 14.00
Harvest Fava Beans With Saffron Lemon - 2 in 1,EGP 23.00
Star Mini Elbow Pasta - 400g,EGP 8.30
Al Tawoos Rose Water - 250 Ml,EGP 15.00
Shaheen Coffee Oriental Blend Light Turkish Coffee With Cardamom - 200gm,EGP 69.45
Aldoha Hibiscus Leaves - 50g,EGP 7.00
Vitrac Creamy Fig Jam - 430 Gm,EGP 21.00
Frida Floor 3*1 Raspberry Scent - 4 Litres,EGP 61.27
Heinz Creamy Caeser Salad Dressing – 225ml,EGP 39.80
Negmet El Zeitoun Natural White Vinegar - 900 Ml,EGP 10.00
Juhayna Juhayna 0% Fat Milk – 1 L,EGP 20.95
Aldoha Cinnamon Powder - 65g,EGP 19.00
Aldoha Mint leaves - 20g,EGP 11.00
Regina Pasta Big Rings - 1kg,EGP 26.90
Aldoha Peeled Sesame - 50g,EGP 7.00
Star Pasta Big Rings - 400g,EGP 7.00
Juhayna Juhayna Apple Pure Juice – 1 L,EGP 25.50
Maggi Fish Mix Powder – 37gm,EGP 5.50
Chefy Mix Demi Glace Sauce - 100g,EGP 19.00
YARU Dried French Basil Jar 25 G,EGP 21.00
Dettol Antiseptic Disinfectant Liquid 725ML 1 + 1  Off,EGP 204.00
Calnort All Purpose Stock - 250gm,EGP 33.45
